id,package,NC,A,I,D
1,org.apache.hadoop.hdfs.server.namenode,302,0.08609271523178808,0.515,0.3989072847682119
2,org.apache.hadoop.mapred,273,0.12087912087912088,0.5987158908507223,0.2804049882701568
3,org.apache.hadoop.hdfs,241,0.016597510373443983,0.7857793983591613,0.19762309126739463
4,org.apache.hadoop.fs,230,0.20434782608695654,0.9257079808753218,0.13005580696227836
5,org.apache.hadoop.util,178,0.0898876404494382,0.918967587034814,0.00885522748425216
6,org.apache.hadoop.hdfs.server.datanode,125,0.056,0.6458333333333334,0.2981666666666666
7,org.apache.hadoop.fs.s3a,103,0.04854368932038835,0.4782608695652174,0.47319544111439427
8,org.apache.hadoop.hdfs.server.blockmanagement,103,0.07766990291262135,0.6221374045801527,0.300192692507226
9,org.apache.hadoop.yarn.api.protocolrecords,101,0.9702970297029703,0.7955010224948875,0.7657980521978578
10,org.apache.hadoop.yarn.api.protocolrecords.impl.pb,99,0.0,0.24427480916030533,0.7557251908396947
11,org.apache.hadoop.yarn.server.resourcemanager,99,0.10101010101010101,0.7675544794188862,0.1314354195710128
12,org.apache.hadoop.fs.azure,98,0.07142857142857142,0.1134020618556701,0.8151693667157585
13,org.apache.hadoop.mapreduce,96,0.1875,0.86731843575419,0.0548184357541901
14,org.apache.hadoop.io,91,0.13186813186813187,0.942572741194487,0.07444087306261893
15,org.apache.hadoop.yarn.api.records,89,0.6404494382022472,0.9511627906976744,0.5916122288999217
16,org.apache.hadoop.hdfs.protocol,86,0.06976744186046512,0.8950863213811421,0.03514623675839279
17,org.apache.hadoop.ipc,86,0.22093023255813954,0.838495575221239,0.05942580777937856
18,org.apache.hadoop.security,77,0.05194805194805195,0.9376718606782768,0.010380087373671243
19,org.apache.hadoop.tools.rumen,76,0.14473684210526316,0.40963855421686746,0.4456246036778694
20,org.apache.hadoop.yarn.server.resourcemanager.webapp.dao,76,0.0,0.5,0.5
21,org.apache.hadoop.yarn.server.resourcemanager.scheduler.capacity,73,0.0958904109589041,0.6634146341463415,0.24069495489475434
22,org.apache.hadoop.streaming,64,0.03125,0.2535211267605634,0.7152288732394366
23,org.apache.hadoop.mapred.gridmix,63,0.031746031746031744,0.07936507936507936,0.8888888888888888
24,org.apache.hadoop.yarn.api.records.impl.pb,62,0.016129032258064516,0.7479674796747967,0.2359034880671388
25,org.apache.hadoop.yarn.server.resourcemanager.webapp,61,0.01639344262295082,0.24358974358974358,0.7400168137873055
26,org.apache.hadoop.yarn.server.resourcemanager.scheduler.fair,59,0.06779661016949153,0.5299145299145299,0.4022888599159785
27,org.apache.hadoop.hdfs.server.federation.router,58,0.08620689655172414,0.4387755102040816,0.47501759324419424
28,org.apache.hadoop.tools,58,0.1206896551724138,0.48148148148148145,0.3978288633461048
29,org.apache.hadoop.yarn.server.resourcemanager.scheduler,58,0.22413793103448276,0.8260869565217391,0.0502248875562219
30,org.apache.hadoop.hdfs.web.resources,56,0.03571428571428571,0.5,0.4642857142857143
31,org.apache.hadoop.yarn.server.api.protocolrecords,56,0.8928571428571429,0.7714285714285715,0.6642857142857144
32,org.apache.hadoop.hdfs.server.namenode.ha,55,0.07272727272727272,0.40217391304347827,0.525098814229249
33,org.apache.hadoop.yarn.server.nodemanager,55,0.12727272727272726,0.7315789473684211,0.1411483253588517
34,org.apache.hadoop.yarn.server.api.protocolrecords.impl.pb,52,0.0,0.34177215189873417,0.6582278481012658
35,org.apache.hadoop.yarn.util,50,0.1,0.936923076923077,0.03692307692307706
36,org.apache.hadoop.hdfs.server.namenode.snapshot,48,0.0625,0.4482758620689655,0.4892241379310345
37,org.apache.hadoop.hdfs.server.protocol,48,0.1875,0.8436363636363636,0.03113636363636374
38,org.apache.hadoop.io.erasurecode.rawcoder,47,0.1276595744680851,0.4246575342465753,0.44768289128533956
39,org.apache.hadoop.mapreduce.lib.input,47,0.06382978723404255,0.6492537313432836,0.2869164814226739
40,org.apache.hadoop.fs.viewfs,45,0.022222222222222223,0.22413793103448276,0.753639846743295
41,org.apache.hadoop.mapred.lib,45,0.06666666666666667,0.4,0.5333333333333333
42,org.apache.hadoop.hdfs.util,42,0.09523809523809523,0.8132530120481928,0.09150889271371199
43,org.apache.hadoop.fs.azurebfs,41,0.024390243902439025,0.13043478260869565,0.8451749734888654
44,org.apache.hadoop.fs.shell,41,0.0,0.3870967741935484,0.6129032258064516
45,org.apache.hadoop.ozone.om,41,0.14634146341463414,0.2653061224489796,0.5883524141363863
46,org.apache.hadoop.yarn.server.timelineservice.storage.common,41,0.24390243902439024,0.7,0.056097560975609806
47,org.apache.hadoop.fs.slive,39,0.0,0.034482758620689655,0.9655172413793104
48,org.apache.hadoop.test,39,0.1794871794871795,0.9701280227596017,0.14961520224678115
49,org.apache.hadoop.yarn.server.resourcemanager.reservation,39,0.3333333333333333,0.6509433962264151,0.01572327044025168
50,org.apache.hadoop.ha,38,0.21052631578947367,0.64,0.14947368421052631
51,org.apache.hadoop.hdfs.protocolPB,38,0.2631578947368421,0.6956521739130435,0.041189931350114506
52,org.apache.hadoop.mapreduce.jobhistory,38,0.05263157894736842,0.5131578947368421,0.4342105263157894
53,org.apache.hadoop.mapreduce.v2.hs,38,0.07894736842105263,0.39344262295081966,0.5276100086281277
54,org.apache.hadoop.yarn.server.timeline,37,0.10810810810810811,0.4262295081967213,0.46566238369517055
55,org.apache.hadoop.hdfs.server.datanode.fsdataset.impl,36,0.08333333333333333,0.4626865671641791,0.4539800995024875
56,org.apache.hadoop.hdfs.server.federation.store.protocol.impl.pb,36,0.0,0.18181818181818182,0.8181818181818181
57,org.apache.hadoop.mapreduce.v2.app.webapp,36,0.027777777777777776,0.30612244897959184,0.6660997732426304
58,org.apache.hadoop.metrics2.impl,36,0.0,0.45614035087719296,0.543859649122807
59,org.apache.hadoop.yarn.server.nodemanager.containermanager.linux.resources,36,0.19444444444444445,0.4,0.40555555555555556
